no;Jenis Penugasan;kluster;ragam;provinsi;kab/kota;latitude;longitude;Tahun Pendataan;Jenis Bantuan;Dampak
39;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
40;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;TTU;-9.33136000;124.51904000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
41;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;TTU;-9.33136000;124.51904000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
42;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
43;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Nutrisi;Peningkatan kesehatan dan kesejahteraan pribadi
44;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Transportasi;Pengurangan biaya transportasi
45;Non-Residensial;Anak;AMPK;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Transportasi;Pengurangan biaya transportasi
46;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Transportasi;Pengurangan biaya transportasi
47;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Sembako;Peningkatan akses makanan dan pengurangan beban ekonomi
48;Non-Residensial;Lansia;Lanjut Usia;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Sembako;Peningkatan akses makanan dan pengurangan beban ekonomi
49;Non-Residensial;Anak;ABH;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Sembako dan Perlengkapan Sekolah;Peningkatan akses makanan dan pengurangan beban ekonomi
50;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Sembako dan Kursi Roda;Peningkatan aksesibilitas dan kemandirian
51;Non-Residensial;Penyandang Disabilitas;Fisik;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;kursi roda;Peningkatan aksesibilitas dan kemandirian
52;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Belu;-9.41258000;124.95066000;2024;Transportasi;Pengurangan biaya transportasi
53;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
54;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
55;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
56;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
57;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
58;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
59;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
60;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
61;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
62;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
63;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
64;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
65;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
66;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
67;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
68;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
69;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
70;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
71;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
72;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
73;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
74;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
75;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
76;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
77;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
78;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
79;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
80;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
81;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
82;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
83;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
84;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
85;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
86;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
87;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
88;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
89;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
90;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
91;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
92;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
93;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
94;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
95;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
96;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
97;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
98;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
99;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
100;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
101;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
102;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
103;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
104;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
105;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
106;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
107;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
108;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
109;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
110;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
111;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
112;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
113;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
114;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
115;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
116;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
117;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
118;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
119;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
120;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
121;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
122;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
123;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
124;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
125;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
126;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
127;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
128;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
129;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
130;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
131;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
132;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
133;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
134;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
135;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
136;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
137;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
138;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
139;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
140;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
141;Non-Residensial;Kelompok Rentan;Kelompok Rentan;NTT;Kab. Manggarai Timur;-8.55533000;120.59761000;2024;Obat-obatan, Tongkat, dann Transportasi;Peningkatan keseimbangan dan mobilitas
